U_ele_1 U_ele_2 band_gap delta_band 
0.0 0.0 0 0.2854917391088375
7.562 -9.452 0 0.544414018014277
0.156 -0.22 0 0.2815361636393507
-9.778 -6.454 0.645966 0.5750032177006015
7.382 5.485 0 0.4961996898862364
-7.208 9.224 0 0.6442590450710397
-1.707 -10.0 0.5431280000000003 0.4399296745958734
10.0 -1.593 0 0.5305729026211831
-3.378 -3.744 0.1901600000000001 0.3444445966691579
2.212 10.0 0 0.6625630304008928
-10.0 1.236 0.030086999999999975 0.40072004344267437
9.945 9.878 0 0.6662191496138336
1.677 -6.124 0.10156700000000018 0.31174182082995877
-5.33 0.659 0 0.33765009419633735
4.456 0.583 0 0.3391361760575353
1.99 -9.982 0.33853100000000014 0.38687513809326457
-1.058 -6.093 0.24768400000000002 0.33823704332938354
-0.594 -3.468 0.029326000000000185 0.26793336136485907
-7.442 -2.081 0.22911499999999974 0.4190787169160373
0.416 -8.133 0.3082880000000001 0.35773107754798394
3.179 -2.912 0 0.2986145793852028
-2.705 -1.346 0 0.2807802140323595
2.063 2.81 0 0.35813938910276333
0.221 -5.273 0.120228 0.29780962207092304
-1.423 -4.728 0.16750299999999996 0.31477543130509733
0.193 -6.501 0.20926900000000037 0.3253231432033653
-0.794 -5.316 0.17783400000000027 0.314675529177098
-0.255 -5.832 0.18656700000000015 0.31673752079704914
-0.556 -4.826 0.12920700000000007 0.29878938643816844
-0.378 -5.415 0.162871 0.3099284056875768
1.153 -3.115 0 0.2663132017704035
-0.303 -6.292 0.22149300000000016 0.3278761960489556
0.036 -5.92 0.17713899999999994 0.3144924576150024
-0.41 -5.679 0.183913 0.31584865234050513
-0.349 -5.68 0.18071500000000018 0.31483552955724564
