U_ele_1 U_ele_2 band_gap(eV) delta_band(eV)
-0.083 -7.014 0.2601180000000003 0.3652118259511253
-9.317 4.025 0 0.4834383566911373
0.201 -7.169 0.25481299999999996 0.36369407687762834
10.0 10.0 0 0.6909948790354933
-10.0 -10.0 0.89534 0.6841720069798786
10.0 -3.92 0 0.553960214475703
0.639 2.091 0 0.36866730597955344
-2.787 10.0 0 0.7074067346443512
10.0 -10.0 0 0.6436870416100308
-5.843 -1.866 0.14946500000000018 0.3982588438825464
3.309 -2.914 0 0.31626564928790135
-9.854 9.93 0 0.7046814269564764
10.0 2.828 0 0.5355960192279492
-2.453 -10.0 0.5837859999999999 0.48834473982100923
-10.0 -2.038 0.3115999999999999 0.5041253218521664
4.195 6.693 0 0.5361310482326692
4.021 -10.0 0.22645000000000026 0.4254231870388516
-1.329 -2.174 0 0.2899831370807271
-4.323 2.808 0 0.41883296701330286
-5.328 -5.869 0.438126 0.4790969027844641
5.489 1.14 0 0.3913269488077981
5.02 -6.724 0 0.3978618882085262
1.134 -9.963 0.385602 0.4112605288913457
-8.31 0.481 0.09424600000000005 0.4058764165576374
-2.931 -4.827 0.2511070000000002 0.3845660565473907
0.704 -4.94 0.08493400000000007 0.30749318342996457
-2.663 -7.064 0.39822700000000033 0.42912101371348305
2.326 -8.573 0.2310500000000002 0.37995786196352294
-0.48 -8.707 0.39510999999999985 0.41038426102152287
-7.627 -3.554 0.35819800000000024 0.48512000271563727
-1.386 -5.527 0.2248300000000003 0.3589774090683532
0.881 -8.545 0.310057 0.38493571816423666
-4.717 -3.894 0.26349599999999995 0.4147619446616583
-1.279 -6.7 0.30250999999999983 0.3837820070598829
2.354 -10.0 0.31880600000000037 0.4067825636534331
-0.293 -7.753 0.322511 0.3859000561743022
1.295 -7.446 0.21029300000000006 0.35628861786703603
-0.549 -6.218 0.23018300000000025 0.35609102338214127
0.408 -7.856 0.2905509999999998 0.3760816827261411
-2.163 -5.899 0.29130100000000025 0.3882245463712532
-0.535 -6.966 0.2817280000000002 0.3730078580926091
-0.01 -7.403 0.2826629999999999 0.3726168518426954
-0.197 -7.228 0.28102800000000006 0.3721136154981561
0.168 -7.502 0.2792469999999998 0.3716169004612569
-0.334 -6.832 0.2615859999999999 0.36590646103374935
-0.137 -7.254 0.2794349999999999 0.37155199917007087
0.103 -7.473 0.28095199999999965 0.3721041939874877
-0.194 -7.196 0.27868400000000015 0.3713410404067413
-0.025 -7.326 0.27827500000000027 0.37117409885250424
0.359 -7.523 0.2738339999999999 0.37080671011582805
-0.242 -7.141 0.2782359999999997 0.37122768271297085
-0.032 -7.334 0.2791990000000002 0.37147486720186473
-0.675 -6.657 0.26776800000000023 0.3688826157891087
-0.173 -7.072 0.2690450000000002 0.36816146092945023
0.06 -7.535 0.28762 0.3742657391257544
-0.044 -7.278 0.27604399999999973 0.37043739552973876
-0.278 -7.181 0.2828940000000002 0.3728013730543845
-0.038 -7.277 0.27565099999999987 0.3703102504476957
-0.206 -6.996 0.2657099999999999 0.3670937631511817
-0.039 -7.309 0.27788100000000027 0.37104104979288666
0.11 -7.65 0.29249300000000034 0.3758918644845175
-0.284 -7.161 0.28183899999999973 0.372460997984128
